Issuer,Issue Month,Size (in issuance currency),Size (USD equivalent),Maturity Date,Issuer Country,Sector Criteria,Approved Verifier,Verifier Report,Status
Para Finco Pty Ltd and Para Bidco Limited  as borrowers for Vector Metering,2023-06-01,AUD 1.6bn,1070784000,5 years,New Zealand,Electrical Grids and Storage,DNV,,-
Transpower New Zealand Limited,2023-06-01,AUD 300m,198517200,7 years,New Zealand,Electrical Grids and Storage,EY Australia,/files/drupal-files/files/Transpower New Zealand Limited_Pre issuance assurance statement.pdf,-
Cromwell Riverpark Trust,2023-06-01,confidential,,,Australia,Low Carbon Buildings (Commercial),DNV,/files/drupal-files/files/cromwell_Pre issuance assurance statement.pdf,-
Internacional de Inversiones  S.A.P.I. de C.V.,2023-06-01,MXN 500m,29265550,3 years,Mexico,Low Carbon Buildings  (Residential),HR Ratings,/files/drupal-files/files/idei_Pre issuance assurance statement.pdf,-
Internacional de Inversiones  S.A.P.I. de C.V.,2023-06-01,MXN 300m,17561964,5 years,Mexico,Low Carbon Buildings  (Residential),HR Ratings,/files/drupal-files/files/idei_Pre issuance assurance statement.pdf,-
SNCF SA,2023-06-01,CHF 275m,302500000,10 years,France,Low Carbon Transport,ISS ESG,/files/drupal-files/files/20161018_SNCF_oekom_CBI_pre-issuance-verification.pdf,-
Hotspot Network Limited and Micropolitan Mobile Connectivity Limited,2023-06-01,NGN 955m,1198372,7 years,Nigeria,Solar,Agusto,/files/drupal-files/files/report-hotspot.pdf,-
Sacramento Municipal Utility District,2023-06-01,USD 200m,200000000,30 years,United States,Electrical Grids and Storage,Kestrel,/files/drupal-files/files/SMUD-pre-issuance-verification.pdf,-
Mercury NZ,2023-06-01,confidential,,,New Zealand,Wind,DNV,,-
Sembcorp Financial Services Pte. Ltd.,2023-06-01,confidential,,,India,Wind,EY,/files/drupal-files/files/Sembcorp financial services pte ltd_Pre issuance assurance statement.pdf,-
Intellihub Holdings Pty Ltd,2023-06-01,confidential,,,Australia,Electrical Grids and Storage,EY Australia,,-
Japan Railway Construction  Transport and Technology Agency,2023-05-01,confidential,,,Japan,Low Carbon Transport,DNV,,-
Sembcorp Financial Services Pte. Ltd.,2023-05-01,confidential,,,India,Wind,EY,/files/drupal-files/files/Sembcorp financial services pte ltd_Pre issuance assurance statement.pdf,-
Sparebank 1 Boligkreditt,2023-05-01,EUR 750m,810112500,7 years,Norway,Low Carbon Buildings (Residential),Multiconsult,/files/drupal-files/files/Climate Bonds Sparebank 1 Boligkreditt Verification Post-Issuance Multiconsult May 2018.pdf,-
Milwaukee Metropolitan Sewerage District,2023-05-01,USD 62m,62000000,Up to 20 years,United States,Water Infrastructure,Kestrel,/files/drupal-files/files/MMSD-2020D-pre-issuance-verification.pdf,-
Ohio Higher Educational Facility Commission,2023-05-01,USD 108m,108820000,up to 30 years,United States,Low Carbon Buildings  (Residential),Kestrel,/files/drupal-files/files/ohefc pre issue report.pdf,-
Intellihub Holdings Pty Ltd,2023-05-01,confidential,,,Australia,Electrical Grids and Storage,EY Australia,,-
AGL Energy Limited,2023-04-01,confidential,,,Australia,Electrical Grids and Storage,EY Australia,,-
Renew Power through Diamond II Limited,2023-04-01,USD 380m,380000000,5 years,Mauritius,SolarWind,DNV,/files/drupal-files/files/Diamond-pre-Issuance-report.pdf,-
San Francisco Public Utilities Commission,2023-04-01,USD 165m,165665000,25 years,United States,Water Infrastructure,Sustainalytics,/files/drupal-files/files/San francisco_pre-issuance-verification.pdf,-
San Francisco Public Utilities Commission,2023-04-01,USD 530m,530565000,up to 7 years,United States,Water Infrastructure,Sustainalytics,/files/drupal-files/files/San francisco_pre-issuance-verification.pdf,-
FS Agrisolutions Industria de Biocombustiveis Ltda,2023-04-01,BRL 393m,80032092,6 years and 6 months,Brazil,Bioenergy,Sustainalytics,/files/drupal-files/files/FS-Agrisolutions-Industria-de-Biocombustiveis-Ltda_Pre issuance assurance statement.pdf,-
FS Agrisolutions Industria de Biocombustiveis Ltda,2023-04-01,BRL 357m,72700908,6 years and 6 months,Brazil,Bioenergy,Sustainalytics,/files/drupal-files/files/FS-Agrisolutions-Industria-de-Biocombustiveis-Ltda_Pre issuance assurance statement.pdf,-
SNCF SA,2023-04-01,EUR 1250m,1378000000,10 years,France,Low Carbon Transport,ISS ESG,/files/drupal-files/files/20161018_SNCF_oekom_CBI_pre-issuance-verification.pdf,-
Rural Electrification Corporation Limited (REC),2023-04-01,USD 750m,750000000,5 years,India,Low Carbon Transport,KPMG India,/files/drupal-files/files/REC2023_Pre issuance assurance statement.pdf,-
Contact Energy Limited,2023-04-01,confidential,,,New Zealand,Geothermal,EY,,-
Societe des Grands Projets,2023-04-01,EUR 1bn,1090000000,30 years,France,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/SGP-pre-Issuance-report.pdf,-
Inpex Corporation,2023-03-01,USD 250m,250000000,5 years,Japan,WindMarine Renewable EnergyGeothermal,DNV,/files/drupal-files/files/inpex2023_Pre issuance assurance statement.pdf,-
New York State Housing Finance Agency,2023-03-01,USD 342m,342115000,up to 40 years,United States,Low Carbon Buildings  (Residential),Sustainalytics,/files/drupal-files/files/NYSHFA pre issue report.PDF,-
Japan Railway Construction  Transport and Technology Agency,2023-03-01,confidential,,,Japan,Low Carbon Transport,DNV,,-
Nucleus Office Parks,2023-03-01,INR 4350m,52000000,16 years,India,Solar,Emergent Ventures India,/files/drupal-files/files/inr-report.pdf,-
Obvion,2023-03-01,EUR 531.6m,574101420,47 years,Netherlands,Low Carbon Buildings  (Residential),Sustainalytics,/files/drupal-files/files/obvion2023_Pre issuance assurance statement.pdf,-
Meridian Energy,2023-03-01,NZD 200m,122547800,5 years,New Zealand,Wind,DNV,/files/drupal-files/files/meridian energy_Pre issuance assurance statement.pdf,-
Sembcorp Financial Services Pte. Ltd.,2023-03-01,SGD 350m,259966700,7 years,Singapore,SolarWind,EY Singapore,/files/drupal-files/files/Sembcorp financial services pte ltd_Pre issuance assurance statement.pdf,-
Mirvac Group Finance Ltd,2023-03-01,confidential,,,Australia,Low Carbon Buildings (Commercial),EY Australia,,-
Queensland Treasury Corporation,2023-03-01,AUD 3bn,2025924000,10 years,Australia,Low Carbon TransportSolarWater Infrastructure,DNV,/files/drupal-files/files/qtc2023_Pre issuance assurance statement.pdf,-
Mirvac Group Finance Ltd,2023-02-01,confidential,,,Australia,Low Carbon Buildings (Commercial),EY Australia,,-
Japan Railway Construction  Transport and Technology Agency,2023-02-01,confidential,,,Japan,Low Carbon Transport,DNV,,-
Mirvac Group Finance Ltd,2023-02-01,confidential,,,Australia,Low Carbon Buildings (Commercial),EY Australia,,-
GREEN INFRA CLEAN ENERGY LIMITED,2023-02-01,confidential,,,India,Solar,EY,,-
GREEN INFRA CLEAN WIND POWER LIMITED,2023-02-01,confidential,,,India,SolarWind,EY,,-
Plenti Group Limited,2023-02-01,AUD 73.5m,50600000,11 years,Australia,Solar,DNV,/files/drupal-files/files/plenti24_Pre issuance assurance statement.pdf,-
New Jersey Economic Development Authority,2023-01-01,USD 160m,160000000,10 years,United States,Marine Renewable Energy,Kestrel,/files/drupal-files/files/njeda_Pre issuance assurance statement.pdf,-
New York Metropolitan Transportation Authority (Triborough Bridge and Tunnel Authority),2023-01-01,USD 764m,764000000,12 years,United States,Low Carbon Transport,First Environment,/files/drupal-files/files/nymta2022_Pre issuance assurance statement.pdf,-
Societe des Grands Projets,2023-01-01,EUR 1bn,1070270000,20 years,France,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/SGP-pre-Issuance-report.pdf,-
Washington Metropolitan Area Transit Authority,2023-01-01,USD 392m,392000000,24 years,United States,Low Carbon Transport,Kestrel,,-
Contact Energy Limited,2022-12-01,confidential,,,New Zealand,Geothermal,EY,,-
Recap Energy AB,2022-12-01,EUR 9m,9554130,2 years,Sweden,Solar,Multiconsult,/files/drupal-files/files/recap_Pre issuance assurance statement.pdf,-
California State Teachers' Retirement System,2022-12-01,USD 15.640m,15640000,27 years,United States,Low Carbon Buildings (Commercial),Kestrel,/files/drupal-files/files/CalSTRS-pre-issuance-Verifier-Report.pdf,-
humm ABS Trust 2022-2 (Humm Group Limited (formerly known as FlexiGroup)),2022-12-01,AUD 52.71m,35241484,5 years,Australia,Solar,DNV,/files/drupal-files/files/humm2022-pre-issuance-Verifier-Report.pdf,-
Charter Hall Prime Office Fund,2022-12-01,confidential,,,Australia,Low Carbon Buildings (Commercial),DNV,,-
Parklife Metro Finance Pty Ltd,2022-12-01,confidential,,,Australia,Low Carbon Transport,DNV,,-
City of San Jose Financing Authority,2022-12-01,USD 268.355mn,268355000,30 years,United States,Water Infrastructure,Kestrel,/files/drupal-files/files/SanJose_Verification-report.pdf,-
City and County of San Francisco,2022-12-01,USD 45m,45000000,29 years,United States,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/2019-02 US City of San Francisco.pdf,-
Missouri Electric Commission,2022-12-01,USD 45.5m,45500000,21 years,United States,Solar,Kestrel,/files/drupal-files/files/Missouri_Pre issuance assurance statement.pdf,-
Barclays PLC,2022-11-01,EUR 29.3m,30200000,6 years,United Kingdom,Low Carbon TransportLow Carbon BuildingsMarineSolar,Carbon Trust,/files/drupal-files/files/Barclays jul 2022_Pre issuance assurance statement.pdf,-
Japan Railway Construction  Transport and Technology Agency,2022-11-01,confidential,,,Japan,Low Carbon Transport,DNV,,-
Transpower New Zealand Limited,2022-11-01,confidential,,,New Zealand,Electrical Grids and Storage,EY Australia,/files/drupal-files/files/Transpower New Zealand Limited_Pre issuance assurance statement.pdf,-
SolarGrid,2022-11-01,BRL 289m,54150219,4 years,Brazil,Solar,Bureau Veritas brazil,/files/drupal-files/files/solargrid-pre-issuance-Verifier-Report.pdf,-
Energie Baden-Wurttemberg (EnBW),2022-11-01,EUR 500m,433851000,7 years,Germany,Electrical Grids and Storage,ISS ESG,/files/drupal-files/files/ EnBW_Pre issuance assurance statement.pdf,-
Energie Baden-Wurttemberg (EnBW),2022-11-01,EUR 500m,433851000,4 years,Germany,Low Carbon TransportMarine Renewable EnergySolarWind,ISS ESG,/files/drupal-files/files/ EnBW_Pre issuance assurance statement.pdf,-
Brighte Capital,2022-11-01,AUD 200m,133432000,4 years,Australia,SolarLow Carbon Transport,DNV,/files/drupal-files/files/Brighte-Capital-pre-issuance-verification-opinion.pdf,-
SNCF SA,2022-11-01,EUR 500m,495010000,5 years,France,Low Carbon Transport,ISS ESG,/files/drupal-files/files/20161018_SNCF_oekom_CBI_pre-issuance-verification.pdf,-
GPT Wholesale Office Fund,2022-11-01,HKD 791m,100765490,10 years,Australia,Low Carbon Buildings (Commercial),EY,/files/drupal-files/files/GPT Wholesale Office Fund_Pre issuance assurance statement.pdf,-
New York Metropolitan Transportation Authority (Triborough Bridge and Tunnel Authority),2022-11-01,USD 700m,700200000,19 years,United States,Low Carbon Transport,First Environment,/files/drupal-files/files/nymta2022_Pre issuance assurance statement.pdf,-
BTR TC I Pty Ltd as trustee for 3 McNab Avenue Trust (Investa),2022-10-01,AUD 210m,134804193,5 years,Australia,Low Carbon Buildings  (Residential),EY,,-
Agricultural Bank of China,2022-10-01,RMB 20 bn,2767820000,,China,Low Carbon Transport,China Lianhe Equator,/files/drupal-files/files/abc_Pre issuance assurance statement.pdf,-
Auckland Council,2022-10-01,CHF 200m,200064000,10 years,Switzerland,Low Carbon Transport,EY,/files/drupal-files/files/Auckland2022-pre-issuance-Verifier-Report.pdf,-
True Securitizadora S.A.,2022-10-01,BRL 150m,2815000,7 years,Brazil,Agriculture,NINT,/files/drupal-files/files/true-securitizadora22-verification.pdf,-
Contact Energy Limited,2022-10-01,NZD 250m,140319229,6 years,New Zealand,Geothermal,KPMG,/files/drupal-files/files/KPMG contact energy_Pre issuance assurance statement.pdf,-
GREEN INFRA CLEAN SOLAR ENERGY LIMITED,2022-10-01,confidential,,,India,Solar,EY Singapore,/files/drupal-files/files/Sembcorp financial services pte ltd_Pre issuance assurance statement.pdf,-
GREEN INFRA SOLAR POWER PROJECTS LIMITED,2022-10-01,confidential,,,India,Solar,EY Singapore,/files/drupal-files/files/Sembcorp financial services pte ltd_Pre issuance assurance statement.pdf,-
GREEN INFRA CLEAN ENERGY LIMITED,2022-10-01,confidential,,,India,WindSolar,EY Singapore,/files/drupal-files/files/Sembcorp financial services pte ltd_Pre issuance assurance statement.pdf,-
AREF Holding Trust,2022-10-01,confidential,,,Australia,Low Carbon Buildings (Commercial),DNV,,-
VinFast Trading and Production Joint Stock Company,2022-10-01,confidential,,,Vietnam,Low Carbon Transport,DNV,,-
Mirvac Group Finance Ltd,2022-10-01,confidential,,,Australia,Low Carbon Buildings (Commercial),EY Australia,,-
Darway Coast P1 Limited,2022-09-01,NGN 1.6bn,3711872,7 years,Nigeria,Solar,Agusto,/files/drupal-files/files/darway-report.pdf,-
Transpower New Zealand Limited,2022-09-01,NZD 200m,118300600,5 years,New Zealand,Electrical Grids and Storage,EY Australia,/files/drupal-files/files/Transpower New Zealand Limited_Pre issuance assurance statement.pdf,-
New York Metropolitan Transportation Authority (Triborough Bridge and Tunnel Authority),2022-09-01,USD 748m,748682066,30 years,United States,Low Carbon Transport,First Environment,/files/drupal-files/files/nymta2022_Pre issuance assurance statement.pdf,-
Japan Railway Construction  Transport and Technology Agency,2022-08-01,confidential,,,Japan,Low Carbon Transport,DNV,,-
Sanguine Securities SÃƒÂ rl,2022-08-01,USD 500m,550000000,5 years,Luxembourg,Solar,Sustainalytics,/files/drupal-files/files/Sanguine_Pre issuance assurance statement.pdf,-
New York Metropolitan Transportation Authority (New York State Thruway Authority),2022-07-01,USD732m,732305000,35 years,United States,Low Carbon Transport,First Environment,/files/drupal-files/files/nymta2022_Pre issuance assurance statement.pdf,-
Office National des Chemins de Fer - ONFC,2022-07-01,MAD 1bn,96016400,up to 30 years,Morocco,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/oncf pre issue report.pdf,-
Barclays PLC,2022-07-01,GBP 17m,20226430,3 years,United Kingdom,Low Carbon TransportLow carbon buildingsMarine renewablesWind,Carbon Trust,/files/drupal-files/files/Barclays jul 2022_Pre issuance assurance statement.pdf,-
Origo Energia (True Securitizadora),2022-07-01,confidential,,,Brazil,Solar,NINT,,-
Mirvac Group Finance Ltd,2022-07-01,confidential,,,Australia,Low Carbon Buildings (Residential),EY Australia,,-
National Australia Bank,2022-06-01,AUD500m,344365000,31 years,Australia,Low Carbon Buildings  (Residential),DNV,/files/drupal-files/files/NAB8_Pre issuance assurance statement.pdf,-
PKO Bank Hipoteczny SA,2022-06-01,EUR500 m,527730000,5 years,Poland,Low Carbon Buildings (Residential),Sustainalytics,/files/drupal-files/files/2021-06-07_PKO_Post-issuance_Verification-report_(PUBLIC).pdf,-
Volkswagen,2022-06-01,EUR1.5bn,1577580000,5 years,Netherlands,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/VW-Pre-Issuance-Verification-PUBLIC.pdf,-
Netherlands Sovereign,2022-06-01,EUR 4.9bn,5208515593,18 years,Netherlands,Low Carbon TransportLow Carbon BuildingsMarineSolarWaterWind,Sustainalytics,/files/drupal-files/files/Netherlands 2_Pre issuance assurance statement.pdf,-
Global Power Synergy Public Company Limited,2022-06-01,THB 12bn,347126400,Up to 15 years,Thailand,SolarWind,DNV,/files/drupal-files/files/gpsc_Pre issuance assurance statement.pdf,-
Transpower New Zealand Limited,2022-06-01,NZD 175m,112985425,3 years,New Zealand,Electrical Grids and Storage,EY Australia,/files/drupal-files/files/Transpower New Zealand Limited_Pre issuance assurance statement.pdf,-
Tohoku Electric Power Co.,2022-06-01,confidential,,10 years,Japan,Wind,DNV,,-
Mirvac Group Finance Ltd,2022-06-01,confidential,,,Australia,Low Carbon Buildings (Commercial),EY Australia,,-
GREEN FIDC SOLAR GD II â€“ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÃ“RIOS SOCIOAMBIENTAL (Origo Energia),2022-06-01,confidential,,,Brazil,Solar,NINT,,-
Geysers Power Company,2022-05-01,confidential,,,United States,Geothermal,DNV,/files/drupal-files/files/Geysers Power Company _Pre issuance assurance statement.pdf,-
Japan Railway Construction  Transport and Technology Agency,2022-05-01,confidential,,5 and 10 year tranches,Japan,Low Carbon Transport,DNV,,-
Torrent Solargen Limited,2022-05-01,INR5.5bn,70840000,17 years,India,Wind,KPMG India,/files/drupal-files/files/Torrent Solargen Limited_Pre issuance assurance statement.pdf,-
Barclays PLC,2022-05-01,USD 170m,170000000,1 year,United Kingdom,WindSolarMarine Renewables,Carbon Trust,/files/drupal-files/files/Barclays jul 2022_Pre issuance assurance statement.pdf,-
San Francisco Bay Area Rapid Transit,2022-05-01,USD 700m,700000000,30 years,United States,Low Carbon TransportÂ ,First Environment,,-
Patriam Invest AB,2022-05-01,SEK 400m,36506480,,Sweden,Low Carbon Buildings (Residential),MultiConsult,/files/drupal-files/files/Patriam Invest AB_Pre issuance assurance statement.pdf,-
National Australia Bank,2022-05-01,EUR 1bn,1064530000,6 years,Australia,Low Carbon TransportLow Carbon Buildings (commercial and residential)MarineShippingSolarWaterWindElectrical Grids and Storage,DNV,/files/drupal-files/files/NAB8_Pre issuance assurance statement.pdf,-
Transpower New Zealand Limited,2022-05-01,Multiple,2058847730,Multiple,New Zealand,Electrical Grids and Storage,EY Australia,/files/drupal-files/files/Transpower New Zealand Limited_Pre issuance assurance statement.pdf,-
B. Grimm Power,2022-05-01,THB 3300m,95314890,5 years,Thailand,SolarWind,DNV,/files/drupal-files/files/B_grimm 2 power_Pre issuance assurance statement.pdf,-
FS Agrisolutions Industria de Biocombustiveis Ltda,2022-05-01,BRL 375m,74771250,7 years,Brazil,Bioenergy,Sustainalytics,/files/drupal-files/files/FS-Agrisolutions-Industria-de-Biocombustiveis-Ltda_Pre issuance assurance statement.pdf,-
FS Agrisolutions Industria de Biocombustiveis Ltda,2022-05-01,BRL 375m,74771250,4 years,Brazil,Bioenergy,Sustainalytics,/files/drupal-files/files/FS-Agrisolutions-Industria-de-Biocombustiveis-Ltda_Pre issuance assurance statement.pdf,-
Charter Hall Nominees Pty Ltd as trustee for 60 King William Landowning Trust,2022-05-01,confidential,,,Australia,Low Carbon Buildings (Commercial),DNV,,-
Virtuo Finance S.à r.l.  r.l.,2022-04-01,USD 334.5m,334500000,19 years,Egypt,Solar,DNV,/files/drupal-files/files/virtuo finance_Pre issuance assurance statement.pdf,-
Milwaukee Metropolitan Sewerage District,2022-04-01,USD 50m,50000000,20 years,United States,Water Infrastructure,Kestrel,/files/drupal-files/files/MMSD-2020D-pre-issuance-verification.pdf,-
Obvion,2022-04-01,EUR531.6m,573390000,47 years,Netherlands,Low Carbon Buildings  (Residential),Sustainalytics,/files/drupal-files/files/green storm 2022.pdf,-
GREEN INFRA WIND POWER GENERATION LIMITED,2022-04-01,confidential,,,India,Wind,EY Singapore,/files/drupal-files/files/Sembcorp financial services pte ltd_Pre issuance assurance statement.pdf,-
State Public Works Board of the State of California,2022-04-01,USD 294m,294990000,25 years,United States,Low Carbon Buildings (Commercial),Kestrel,/files/drupal-files/files/State Public Works 2_Pre issuance assurance statement.pdf,-
Aliança Geração de Energia S.A.,2022-04-01,BRL 240m,51051840,14 years,Brazil,Wind,NINT,/files/drupal-files/files/alianca22_Pre issuance assurance statement.pdf,-
Shinhan Bank,2022-04-01,USD 500m,500000000,10 years,South Korea,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/Shinhan-Bank-Pre-issuance-assurance-statement.pdf,-
GREEN INFRA WIND POWER LIMITED,2022-04-01,confidential,,,India,Wind,EY Singapore,/files/drupal-files/files/Sembcorp financial services pte ltd_Pre issuance assurance statement.pdf,-
GREEN INFRA CORPORATE WIND LIMITED,2022-04-01,confidential,,,India,Wind,EY Singapore,/files/drupal-files/files/Sembcorp financial services pte ltd_Pre issuance assurance statement.pdf,-
New York State Housing Finance Agency,2022-03-01,USD 347m,347480000,5 years,United States,Low Carbon Buildings  (Residential),Sustainalytics,/files/drupal-files/files/NYSHFA pre issue report.PDF,-
GREEN INFRA CORPORATE SOLAR LIMITED,2022-03-01,confidential,,,India,Wind,EY Singapore,/files/drupal-files/files/Sembcorp financial services pte ltd_Pre issuance assurance statement.pdf,-
Opea Securitizadora S.A.,2022-03-01,confidential,,,Brazil,Solar,NINT,,-
China Development Bank,2022-03-01,RMB 12bn,1884276000,3 years,China,Low Carbon TransportSolarWind,China Lianhe Equator,/files/drupal-files/files/China Development Bank8_Pre issuance assurance statement.pdf,-
Societe des Grands Projets,2022-03-01,EUR 1.75bn,1869140000,20 years,France,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/SGP-pre-Issuance-report.pdf,-
GREEN INFRA CORPORATE SOLAR LIMITED,2022-03-01,confidential,,,India,Wind,EY Singapore,/files/drupal-files/files/Sembcorp financial services pte ltd_Pre issuance assurance statement.pdf,-
Tohoku Electric Power Co.,2022-03-01,confidential,,10 years,Japan,Geothermal,DNV,,-
Japan Railway Construction  Transport and Technology Agency,2022-03-01,confidential,,4 years,Japan,Low Carbon Transport,DNV,,-
Ermewa Group,2022-03-01,EUR 460m,505500000,10  13 and 15 year tranches,France,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/Ermewa Holding SA_Pre issuance assurance statement.pdf,-
GREEN INFRA WIND POWER GENERATION LIMITED,2022-03-01,confidential,,,India,Wind,EY Singapore,/files/drupal-files/files/Sembcorp financial services pte ltd_Pre issuance assurance statement.pdf,-
Tohoku Electric Power Co.,2022-03-01,confidential,,10 years,Japan,WindSolar,DNV,,-
GREEN INFRA WIND FARM ASSETS LIMITED,2022-03-01,confidential,,,India,Wind,EY Singapore,/files/drupal-files/files/Sembcorp financial services pte ltd_Pre issuance assurance statement.pdf,-
humm ABS Trust 2022-1 (Humm Group Limited (formerly known as FlexiGroup)),2022-03-01,AUD 68.75m,49337888,5 years,Australia,Solar,DNV,/files/drupal-files/files/Humm Group Limited_Pre issuance assurance statement.pdf,-
Plenti Group Limited,2022-03-01,AUD 65m,47497450,8 years,Australia,Solar,DNV,/files/drupal-files/files/Plenti Group Limited _Pre issuance assurance statement.pdf,-
Peninsula Corridor Joint Powers Board,2022-03-01,USD140m,140000000,20 years,United States,Low Carbon Transport,Kestrel,/files/drupal-files/files/Peninsula_Pre issuance assurance statement.pdf,-
Fermi SolarFarms Private LimitedClean Sustainable Energy Private LimitedAvaada Solarise Energy Private LimitedAvaada SataraMH Private Limited,2022-02-01,INR14.4 bn,188825760,3 years,India,Solar,KPMG India,/files/drupal-files/files/Avaada _Pre issuance assurance statement.pdf,-
Reliance Rail Finance Pty Limited,2022-02-01,AUD 1.8bn,1344352403,21 years,Australia,Low Carbon Transport,DNV,/files/drupal-files/files/Reliance Rail Finance Pty Limited _Pre issuance assurance statement.pdf,-
GREEN INFRA WIND SOLUTIONS LIMITED,2022-02-01,confidential,,,India,Wind,EY Singapore,/files/drupal-files/files/Sembcorp financial services pte ltd_Pre issuance assurance statement.pdf,-
MULANUR RENEWABLE ENERGY LIMITED,2022-02-01,confidential,,,India,Wind,EY Singapore,/files/drupal-files/files/Sembcorp financial services pte ltd_Pre issuance assurance statement.pdf,-
Japan Railway Construction  Transport and Technology Agency,2022-02-01,confidential,,,Japan,Low Carbon Transport,DNV,,-
New South Wales Treasury Corporation,2022-02-01,AUD 200m,142732000,8 years,Australia,Low Carbon Transport,EY Australia,/files/drupal-files/files/TCorp Pre Issuance Assurance Statement PUBLIC.pdf,-
Barclays PLC,2022-02-01,USD 65m,65000000,,United Kingdom,Marine Renewable EnergySolarWind,Carbon Trust,/files/drupal-files/files/Barclays PLC index bonds_Pre issuance assurance statement.pdf,-
FS Agrisolutions Industria de Biocombustiveis Ltda,2022-02-01,BRL 507 m,94808493,7 years,Brazil,Bioenergy,Sustainalytics,/files/drupal-files/files/FS-Agrisolutions-Industria-de-Biocombustiveis-Ltda_Pre issuance assurance statement.pdf,-
FS Agrisolutions Industria de Biocombustiveis Ltda,2022-02-01,BRL 508 m,94995492,4 years,Brazil,Bioenergy,Sustainalytics,/files/drupal-files/files/FS-Agrisolutions-Industria-de-Biocombustiveis-Ltda_Pre issuance assurance statement.pdf,-
Louisville and Jefferson County Metropolitan Sewer District,2022-02-01,USD 225m,225000000,30 years,United States,Water Infrastructure,Kestrel,/files/drupal-files/files/Louisville and Jefferson County Metropolitan Sewer District_Pre issuance assurance statement.pdf,-
Manyata Promoters Private LimitedVikas Telecom Private LimitedEmbassy Pune TechZone Private Limited,2022-02-01,INR 800m,10691040,4 years,,Solar,KPMG India,/files/drupal-files/files/Manyata 800m _Pre issuance assurance statement.pdf,-
India Clean Energy Holdings,2022-01-01,USD 400m,400000000,5 years,Mauritius,SolarWind,KPMG,/files/drupal-files/files/India clean energy-pre-Issuance-report.pdf,-
Barclays PLC,2022-01-01,EUR 2m,2259250,3 years,United Kingdom,Marine Renewable EnergySolarWind,Carbon Trust,/files/drupal-files/files/Barclays PLC index bonds_Pre issuance assurance statement.pdf,-
Barclays PLC,2022-01-01,EUR 30m,34004000,5 years,United Kingdom,Marine Renewable EnergySolarWind,Carbon Trust,/files/drupal-files/files/Barclays PLC index bonds_Pre issuance assurance statement.pdf,-
Sweihan PV Power Company PJSC,2022-01-01,USD700.8m,700800000,27 years,United Arab Emirates,Solar,DNV,,-
Indian Railway Finance Corporation,2022-01-01,INR37.5bn,503186250,10 years,India,Low Carbon Transport,Emergent Ventures India,,-
China Development Bank,2022-01-01,RMB 15bn,2361420000,5 years,China,Low Carbon Transport,China Lianhe Equator,/files/drupal-files/files/China Development Bank6_Pre issuance assurance statement.pdf,-
Barclays PLC,2022-01-01,USD 1.7m,1700000,5 years,United Kingdom,Marine Renewable EnergySolarWind,Carbon Trust,/files/drupal-files/files/Barclays PLC index bonds_Pre issuance assurance statement.pdf,-
Cu Ne Renewable Energy Investment  Company Limited,2021-12-01,confidential,,,Vietnam,Wind,Carbon Care Asia,/files/drupal-files/files/CRE Krongbuk New Energy Investment Company Limited _Pre issuance assurance statement.pdf,-
Krongbuk Wind Energy Company Limited,2021-12-01,confidential,,,Vietnam,Wind,Carbon Care Asia,/files/drupal-files/files/KWE Krongbuk New Energy Investment Company Limited _Pre issuance assurance statement.pdf,-
Krongbuk New Energy Investment Company Limited,2021-12-01,confidential,,,Vietnam,Wind,Carbon Care Asia,/files/drupal-files/files/KNE Krongbuk New Energy Investment Company Limited _Pre issuance assurance statement.pdf,-
Cu Ne Wind Power Investment and Management Company Limited,2021-12-01,confidential,,,Vietnam,Wind,Carbon Care Asia,/files/drupal-files/files/CWE Krongbuk New Energy Investment Company Limited _Pre issuance assurance statement.pdf,-
Empresa Generadora de Electricidad Haina  S.A.,2021-12-01,DOP5700m,100000000,15 years,Dominican Republic,SolarWind,Pacific Corporate Sustainability,/files/drupal-files/files/Empresa Generadora de Electricidad Haina SA_Pre issuance assurance statement.pdf,-
Ferrovie dello Stato,2021-12-01,EUR 350m,391531000,17 years,Italy,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/Ferrovie CBI Pre-Issuance Verification Report.pdf,-
GREEN INFRA RENEWABLE ENERGY LIMITED,2021-12-01,confidential,,,India,Wind,EY Singapore,/files/drupal-files/files/Sembcorp financial services pte ltd_Pre issuance assurance statement.pdf,-
Sembcorp Financial Services Pte. Ltd.,2021-12-01,confidential,,,India,Wind,EY Singapore,/files/drupal-files/files/Sembcorp financial services pte ltd_Pre issuance assurance statement.pdf,-
New York State Housing Finance Agency,2021-12-01,USD 379m,379900000,45 years,United States,Low Carbon Buildings (Residential),,/files/drupal-files/files/NYSHFA pre issue report.PDF,-
BC Investment Management Pty Ltd,2021-12-01,AUD200m,143000000,,Australia,Low Carbon Buildings  (Residential),DNV,/files/drupal-files/files/BC Investment Management Pty Ltd_Pre issuance assurance statement.pdf,-
